name,base_id,char_definitionId
Jedi Consular's Starfighter,JEDISTARFIGHTERCONSULAR,JEDISTARFIGHTERCONSULAR:FIVE_STAR
Jedi Consular's Starfighter,JEDISTARFIGHTERCONSULAR,JEDISTARFIGHTERCONSULAR:THREE_STAR
Jedi Consular's Starfighter,JEDISTARFIGHTERCONSULAR,JEDISTARFIGHTERCONSULAR:ONE_STAR
Jedi Consular's Starfighter,JEDISTARFIGHTERCONSULAR,JEDISTARFIGHTERCONSULAR:TWO_STAR
Chewbacca,CHEWBACCALEGENDARY,CHEWBACCALEGENDARY:SEVEN_STAR
Chewbacca,CHEWBACCALEGENDARY,CHEWBACCALEGENDARY:FOUR_STAR
Chewbacca,CHEWBACCALEGENDARY,CHEWBACCALEGENDARY:SIX_STAR
Chewbacca,CHEWBACCALEGENDARY,CHEWBACCALEGENDARY:THREE_STAR
Chewbacca,CHEWBACCALEGENDARY,CHEWBACCALEGENDARY:ONE_STAR
Chewbacca,CHEWBACCALEGENDARY,CHEWBACCALEGENDARY:TWO_STAR
Chewbacca,CHEWBACCALEGENDARY,CHEWBACCALEGENDARY:FIVE_STAR
Ahsoka Tano,AHSOKATANO,AHSOKATANO:FIVE_STAR
Ahsoka Tano,AHSOKATANO,AHSOKATANO:SEVEN_STAR
Ahsoka Tano,AHSOKATANO,AHSOKATANO:FOUR_STAR
Ahsoka Tano,AHSOKATANO,AHSOKATANO:SIX_STAR
Ahsoka Tano,AHSOKATANO,AHSOKATANO:THREE_STAR
Ahsoka Tano,AHSOKATANO,AHSOKATANO:ONE_STAR
Ahsoka Tano,AHSOKATANO,AHSOKATANO:TWO_STAR
Wat Tambor,WATTAMBOR,WATTAMBOR:FIVE_STAR
Wat Tambor,WATTAMBOR,WATTAMBOR:FOUR_STAR
Wat Tambor,WATTAMBOR,WATTAMBOR:SEVEN_STAR
Wat Tambor,WATTAMBOR,WATTAMBOR:SIX_STAR
Wat Tambor,WATTAMBOR,WATTAMBOR:ONE_STAR
Wat Tambor,WATTAMBOR,WATTAMBOR:TWO_STAR
Wat Tambor,WATTAMBOR,WATTAMBOR:THREE_STAR
Darth Nihilus,DARTHNIHILUS,DARTHNIHILUS:FIVE_STAR
Darth Nihilus,DARTHNIHILUS,DARTHNIHILUS:SEVEN_STAR
Darth Nihilus,DARTHNIHILUS,DARTHNIHILUS:FOUR_STAR
Darth Nihilus,DARTHNIHILUS,DARTHNIHILUS:SIX_STAR
Darth Nihilus,DARTHNIHILUS,DARTHNIHILUS:THREE_STAR
Darth Nihilus,DARTHNIHILUS,DARTHNIHILUS:ONE_STAR
Darth Nihilus,DARTHNIHILUS,DARTHNIHILUS:TWO_STAR
Malevolence,CAPITALMALEVOLENCE,CAPITALMALEVOLENCE:FOUR_STAR
Malevolence,CAPITALMALEVOLENCE,CAPITALMALEVOLENCE:SEVEN_STAR
Malevolence,CAPITALMALEVOLENCE,CAPITALMALEVOLENCE:FIVE_STAR
Malevolence,CAPITALMALEVOLENCE,CAPITALMALEVOLENCE:THREE_STAR
Malevolence,CAPITALMALEVOLENCE,CAPITALMALEVOLENCE:ONE_STAR
Malevolence,CAPITALMALEVOLENCE,CAPITALMALEVOLENCE:TWO_STAR
Malevolence,CAPITALMALEVOLENCE,CAPITALMALEVOLENCE:SIX_STAR
General Hux,GENERALHUX,GENERALHUX:SEVEN_STAR
General Hux,GENERALHUX,GENERALHUX:SIX_STAR
General Hux,GENERALHUX,GENERALHUX:THREE_STAR
General Hux,GENERALHUX,GENERALHUX:FOUR_STAR
General Hux,GENERALHUX,GENERALHUX:ONE_STAR
General Hux,GENERALHUX,GENERALHUX:TWO_STAR
General Hux,GENERALHUX,GENERALHUX:FIVE_STAR
Sith Fighter,SITHFIGHTER,SITHFIGHTER:FOUR_STAR
Sith Fighter,SITHFIGHTER,SITHFIGHTER:SEVEN_STAR
Sith Fighter,SITHFIGHTER,SITHFIGHTER:SIX_STAR
Sith Fighter,SITHFIGHTER,SITHFIGHTER:TWO_STAR
Sith Fighter,SITHFIGHTER,SITHFIGHTER:FIVE_STAR
Sith Fighter,SITHFIGHTER,SITHFIGHTER:THREE_STAR
Sith Fighter,SITHFIGHTER,SITHFIGHTER:ONE_STAR
Admiral Trench,TRENCH,TRENCH:SEVEN_STAR
Admiral Trench,TRENCH,TRENCH:FOUR_STAR
Admiral Trench,TRENCH,TRENCH:SIX_STAR
Admiral Trench,TRENCH,TRENCH:TWO_STAR
Admiral Trench,TRENCH,TRENCH:FIVE_STAR
Admiral Trench,TRENCH,TRENCH:THREE_STAR
Admiral Trench,TRENCH,TRENCH:ONE_STAR
Xanadu Blood,XANADUBLOOD,XANADUBLOOD:SEVEN_STAR
Xanadu Blood,XANADUBLOOD,XANADUBLOOD:SIX_STAR
Xanadu Blood,XANADUBLOOD,XANADUBLOOD:TWO_STAR
Xanadu Blood,XANADUBLOOD,XANADUBLOOD:FIVE_STAR
Xanadu Blood,XANADUBLOOD,XANADUBLOOD:ONE_STAR
Xanadu Blood,XANADUBLOOD,XANADUBLOOD:THREE_STAR
Xanadu Blood,XANADUBLOOD,XANADUBLOOD:FOUR_STAR
Chimaera,CAPITALCHIMAERA,CAPITALCHIMAERA:FIVE_STAR
Chimaera,CAPITALCHIMAERA,CAPITALCHIMAERA:FOUR_STAR
Chimaera,CAPITALCHIMAERA,CAPITALCHIMAERA:SEVEN_STAR
Chimaera,CAPITALCHIMAERA,CAPITALCHIMAERA:TWO_STAR
Chimaera,CAPITALCHIMAERA,CAPITALCHIMAERA:SIX_STAR
Chimaera,CAPITALCHIMAERA,CAPITALCHIMAERA:ONE_STAR
Chimaera,CAPITALCHIMAERA,CAPITALCHIMAERA:THREE_STAR
Darth Malak,DARTHMALAK,DARTHMALAK:FIVE_STAR
Darth Malak,DARTHMALAK,DARTHMALAK:FOUR_STAR
Darth Malak,DARTHMALAK,DARTHMALAK:SEVEN_STAR
Darth Malak,DARTHMALAK,DARTHMALAK:TWO_STAR
Darth Malak,DARTHMALAK,DARTHMALAK:SIX_STAR
Darth Malak,DARTHMALAK,DARTHMALAK:ONE_STAR
Darth Malak,DARTHMALAK,DARTHMALAK:THREE_STAR
Resistance Hero Poe,EPIXPOE,EPIXPOE:SIX_STAR
Resistance Hero Poe,EPIXPOE,EPIXPOE:FIVE_STAR
Resistance Hero Poe,EPIXPOE,EPIXPOE:FOUR_STAR
Resistance Hero Poe,EPIXPOE,EPIXPOE:SEVEN_STAR
Resistance Hero Poe,EPIXPOE,EPIXPOE:TWO_STAR
Resistance Hero Poe,EPIXPOE,EPIXPOE:THREE_STAR
Resistance Hero Poe,EPIXPOE,EPIXPOE:ONE_STAR
Skiff Guard (Lando Calrissian),UNDERCOVERLANDO,UNDERCOVERLANDO:FIVE_STAR
Skiff Guard (Lando Calrissian),UNDERCOVERLANDO,UNDERCOVERLANDO:FOUR_STAR
Skiff Guard (Lando Calrissian),UNDERCOVERLANDO,UNDERCOVERLANDO:SEVEN_STAR
Skiff Guard (Lando Calrissian),UNDERCOVERLANDO,UNDERCOVERLANDO:SIX_STAR
Skiff Guard (Lando Calrissian),UNDERCOVERLANDO,UNDERCOVERLANDO:TWO_STAR
Skiff Guard (Lando Calrissian),UNDERCOVERLANDO,UNDERCOVERLANDO:ONE_STAR
Skiff Guard (Lando Calrissian),UNDERCOVERLANDO,UNDERCOVERLANDO:THREE_STAR
Biggs Darklighter,BIGGSDARKLIGHTER,BIGGSDARKLIGHTER:FIVE_STAR
Biggs Darklighter,BIGGSDARKLIGHTER,BIGGSDARKLIGHTER:FOUR_STAR
Biggs Darklighter,BIGGSDARKLIGHTER,BIGGSDARKLIGHTER:SEVEN_STAR
Biggs Darklighter,BIGGSDARKLIGHTER,BIGGSDARKLIGHTER:SIX_STAR
Biggs Darklighter,BIGGSDARKLIGHTER,BIGGSDARKLIGHTER:THREE_STAR
Biggs Darklighter,BIGGSDARKLIGHTER,BIGGSDARKLIGHTER:ONE_STAR
Biggs Darklighter,BIGGSDARKLIGHTER,BIGGSDARKLIGHTER:TWO_STAR
Jolee Bindo,JOLEEBINDO,JOLEEBINDO:SIX_STAR
Jolee Bindo,JOLEEBINDO,JOLEEBINDO:FOUR_STAR
Jolee Bindo,JOLEEBINDO,JOLEEBINDO:SEVEN_STAR
Jolee Bindo,JOLEEBINDO,JOLEEBINDO:TWO_STAR
Jolee Bindo,JOLEEBINDO,JOLEEBINDO:FIVE_STAR
Jolee Bindo,JOLEEBINDO,JOLEEBINDO:ONE_STAR
Jolee Bindo,JOLEEBINDO,JOLEEBINDO:THREE_STAR
Clone Sergeant - Phase I,CLONESERGEANTPHASEI,CLONESERGEANTPHASEI:SEVEN_STAR
Clone Sergeant - Phase I,CLONESERGEANTPHASEI,CLONESERGEANTPHASEI:SIX_STAR
Clone Sergeant - Phase I,CLONESERGEANTPHASEI,CLONESERGEANTPHASEI:THREE_STAR
Clone Sergeant - Phase I,CLONESERGEANTPHASEI,CLONESERGEANTPHASEI:FOUR_STAR
Clone Sergeant - Phase I,CLONESERGEANTPHASEI,CLONESERGEANTPHASEI:ONE_STAR
Clone Sergeant - Phase I,CLONESERGEANTPHASEI,CLONESERGEANTPHASEI:TWO_STAR
Clone Sergeant - Phase I,CLONESERGEANTPHASEI,CLONESERGEANTPHASEI:FIVE_STAR
Teebo,TEEBO,TEEBO:SEVEN_STAR
Teebo,TEEBO,TEEBO:FOUR_STAR
Teebo,TEEBO,TEEBO:FIVE_STAR
Teebo,TEEBO,TEEBO:TWO_STAR
Teebo,TEEBO,TEEBO:SIX_STAR
Teebo,TEEBO,TEEBO:THREE_STAR
Teebo,TEEBO,TEEBO:ONE_STAR
Clone Wars Chewbacca,CLONEWARSCHEWBACCA,CLONEWARSCHEWBACCA:FOUR_STAR
Clone Wars Chewbacca,CLONEWARSCHEWBACCA,CLONEWARSCHEWBACCA:SEVEN_STAR
Clone Wars Chewbacca,CLONEWARSCHEWBACCA,CLONEWARSCHEWBACCA:SIX_STAR
Clone Wars Chewbacca,CLONEWARSCHEWBACCA,CLONEWARSCHEWBACCA:TWO_STAR
Clone Wars Chewbacca,CLONEWARSCHEWBACCA,CLONEWARSCHEWBACCA:FIVE_STAR
Clone Wars Chewbacca,CLONEWARSCHEWBACCA,CLONEWARSCHEWBACCA:ONE_STAR
Clone Wars Chewbacca,CLONEWARSCHEWBACCA,CLONEWARSCHEWBACCA:THREE_STAR
Royal Guard,ROYALGUARD,ROYALGUARD:SEVEN_STAR
